com.samsung.shealth.tracker.pedometer_day_summary,6091017,5,,,,,,,,,,,,,,,,
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2020-01-22 04:00:00.914,8754.57,5ecf5a23-c14c-4869-a532-6bfa53f61d02.achievement.json,10329,6000,1579564800000,3.6030722,LEU3VEaDjN,4836000,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-22 04:00:00.914,8876,5ecf5a23-c14c-4869-a532-6bfa53f61d02.binning_data.json,5ecf5a23-c14c-4869-a532-6bfa53f61d02,436.38666,1453,,0
2020-02-22 04:00:01.938,3930.9229,bdd8c3ed-9b5e-4fb1-a504-75437f85cd8b.achievement.json,4872,6000,1582243200000,6.3645535,LEU3VEaDjN,2544702,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-22 04:00:01.938,4717,bdd8c3ed-9b5e-4fb1-a504-75437f85cd8b.binning_data.json,bdd8c3ed-9b5e-4fb1-a504-75437f85cd8b,185.6473,155,,0
2020-01-25 04:43:32.357,1081.32,16465feb-ac76-4eae-8c88-4da095bac79d.achievement.json,1333,6000,1579910400000,1.5252165,VfS0qUERdZ,708961,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-27 04:00:01.177,1328,16465feb-ac76-4eae-8c88-4da095bac79d.binning_data.json,16465feb-ac76-4eae-8c88-4da095bac79d,50.940926,5,16465feb-ac76-4eae-8c88-4da095bac79d.source_info.json,0
2020-02-24 10:44:56.690,2874.678,1987cdd0-2f28-4942-b618-fc888a3ad51b.achievement.json,3482,6000,1582502400000,1.5748707,VfS0qUERdZ,1825342,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-25 02:03:10.027,3405,1987cdd0-2f28-4942-b618-fc888a3ad51b.binning_data.json,1987cdd0-2f28-4942-b618-fc888a3ad51b,133.55302,77,1987cdd0-2f28-4942-b618-fc888a3ad51b.source_info.json,0
2020-03-08 04:00:01.872,1707.1581,1b67c987-0a51-4bec-a7bc-30f973bf25d7.achievement.json,1975,6000,1583539200000,4.413152,LEU3VEaDjN,909471,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-08 04:00:01.872,1866,1b67c987-0a51-4bec-a7bc-30f973bf25d7.binning_data.json,1b67c987-0a51-4bec-a7bc-30f973bf25d7,82.57524,109,,0
2020-01-23 10:02:09.561,7291.5166,940fee7c-f50e-41fa-a10e-1b3bf0f9b376.achievement.json,8735,6000,1579737600000,1.7233737,VfS0qUERdZ,4230955,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-24 03:00:17.134,7768,940fee7c-f50e-41fa-a10e-1b3bf0f9b376.binning_data.json,940fee7c-f50e-41fa-a10e-1b3bf0f9b376,356.70746,967,940fee7c-f50e-41fa-a10e-1b3bf0f9b376.source_info.json,0
2020-02-07 10:01:54.381,9941.835,9b27039c-c4d1-45e4-92ef-7fdb9ef2e1f7.achievement.json,11889,6000,1581033600000,1.7301457,VfS0qUERdZ,5746241,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-08 03:27:11.468,10358,9b27039c-c4d1-45e4-92ef-7fdb9ef2e1f7.binning_data.json,9b27039c-c4d1-45e4-92ef-7fdb9ef2e1f7,492.818,1531,9b27039c-c4d1-45e4-92ef-7fdb9ef2e1f7.source_info.json,0
2020-01-29 04:00:00.672,8945.725,7f8dee1e-95e4-4c13-9696-e49f6b32aee0.achievement.json,10530,6000,1580169600000,4.8009553,LEU3VEaDjN,4958030,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-29 04:00:00.672,9025,7f8dee1e-95e4-4c13-9696-e49f6b32aee0.binning_data.json,7f8dee1e-95e4-4c13-9696-e49f6b32aee0,448.29993,1505,,0
2020-02-04 10:01:52.598,7823.9336,c25aa5c5-2c53-4713-b3e1-7de5504b510a.achievement.json,9421,6000,1580774400000,1.7146598,VfS0qUERdZ,4562965,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-05 03:50:37.654,8531,c25aa5c5-2c53-4713-b3e1-7de5504b510a.binning_data.json,c25aa5c5-2c53-4713-b3e1-7de5504b510a,378.7516,890,c25aa5c5-2c53-4713-b3e1-7de5504b510a.source_info.json,0
2020-03-12 10:01:27.113,4259.0835,485e1627-0e2a-4bbd-8b49-774b2f5e6a18.achievement.json,5423,6000,1583971200000,1.5597543,VfS0qUERdZ,2730612,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-13 02:07:42.813,5353,485e1627-0e2a-4bbd-8b49-774b2f5e6a18.binning_data.json,485e1627-0e2a-4bbd-8b49-774b2f5e6a18,193.96513,70,485e1627-0e2a-4bbd-8b49-774b2f5e6a18.source_info.json,0
2020-02-07 04:00:01.909,4552.754,fee1627e-f0da-4435-945f-f4fe82111ae9.achievement.json,5544,6000,1580947200000,4.740763,LEU3VEaDjN,2845563,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-07 04:00:01.909,5226,fee1627e-f0da-4435-945f-f4fe82111ae9.binning_data.json,fee1627e-f0da-4435-945f-f4fe82111ae9,218.65248,318,,0
2020-03-04 04:00:01.974,7580.7334,4a971efd-27eb-489a-9ae2-8f2a8e66aecb.achievement.json,9048,6000,1583193600000,3.5530467,LEU3VEaDjN,4493780,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-04 04:00:01.974,7584,4a971efd-27eb-489a-9ae2-8f2a8e66aecb.binning_data.json,4a971efd-27eb-489a-9ae2-8f2a8e66aecb,387.57632,1464,,0
2020-01-13 10:20:43.549,7589.3535,3321d0fc-ec4d-4717-8aa4-c2f5cd9a84ec.achievement.json,8045,6000,1578873600000,2.272572,VfS0qUERdZ,3339543,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-14 02:06:39.642,4806,3321d0fc-ec4d-4717-8aa4-c2f5cd9a84ec.binning_data.json,3321d0fc-ec4d-4717-8aa4-c2f5cd9a84ec,432.75583,3239,3321d0fc-ec4d-4717-8aa4-c2f5cd9a84ec.source_info.json,0
2020-02-26 07:49:06.891,4082.4006,c839536d-2ca1-48b1-90b9-e90d9b0f3bff.achievement.json,5146,6000,1582675200000,1.5497452,VfS0qUERdZ,2634239,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-27 02:58:11.281,5093,c839536d-2ca1-48b1-90b9-e90d9b0f3bff.binning_data.json,c839536d-2ca1-48b1-90b9-e90d9b0f3bff,185.87302,53,c839536d-2ca1-48b1-90b9-e90d9b0f3bff.source_info.json,0
2020-02-21 10:48:28.004,8104.781,49f3060b-0ed0-4d29-9a79-ef9de0f89ae1.achievement.json,9345,6000,1582156800000,5.666764,LEU3VEaDjN,4436152,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-21 10:48:28.004,7339,49f3060b-0ed0-4d29-9a79-ef9de0f89ae1.binning_data.json,49f3060b-0ed0-4d29-9a79-ef9de0f89ae1,425.72162,2006,,0
